Altura,Latitud,Longitud
1290,-89.0139404892,0.951500689
1289,-89.0147491175,0.949722000569
1288,-89.0155577259,0.947943919872
1287,-89.0163663144,0.946166446903
1286,-89.0171748829,0.944389581656
1285,-89.0179834315,0.942613324125
1284,-89.0187919603,0.940837674304
1283,-89.0196004692,0.939062632187
1282,-89.0204089584,0.937288197768
1281,-89.0212174278,0.935514371041
1280,-89.0220258774,0.933741152
1279,-89.0228343074,0.931968540639
1278,-89.0236427177,0.930196536952
1277,-89.0244511083,0.928425140933
1276,-89.0252594794,0.926654352576
1275,-89.0260678309,0.924884171875
1274,-89.0268761628,0.923114598824
1273,-89.0276844752,0.921345633417
1272,-89.0284927681,0.919577275648
1271,-89.0293010416,0.917809525511
1270,-89.0301092956,0.916042383
1269,-89.0309175302,0.914275848109
1268,-89.0317257455,0.912509920832
1267,-89.0325339414,0.910744601163
1266,-89.0333421181,0.908979889096
1265,-89.0341502754,0.907215784625
1264,-89.0349584136,0.905452287744
1263,-89.0357665325,0.903689398447
1262,-89.0365746322,0.901927116728
1261,-89.0373827128,0.900165442581
1260,-89.0381907742,0.898404376
1259,-89.0389988166,0.896643916979
1258,-89.0398068399,0.894884065512
1257,-89.0406148442,0.893124821593
1256,-89.0414228294,0.891366185216
1255,-89.0422307957,0.889608156375
1254,-89.0430387431,0.887850735064
1253,-89.0438466716,0.886093921277
1252,-89.0446545811,0.884337715008
1251,-89.0454624718,0.882582116251
1250,-89.0462703437,0.880827125
1249,-89.0470781969,0.879072741249
1248,-89.0478860312,0.877318964992
1247,-89.0486938468,0.875565796223
1246,-89.0495016437,0.873813234936
1245,-89.050309422,0.872061281125
1244,-89.0511171816,0.870309934784
1243,-89.0519249226,0.868559195907
1242,-89.052732645,0.866809064488
1241,-89.0535403489,0.865059540521
1240,-89.0543480342,0.863310624
1239,-89.0551557011,0.861562314919
1238,-89.0559633495,0.859814613272
1237,-89.0567709795,0.858067519053
1236,-89.057578591,0.856321032256
1235,-89.0583861842,0.854575152875
1234,-89.059193759,0.852829880904
1233,-89.0600013156,0.851085216337
1232,-89.0608088538,0.849341159168
1231,-89.0616163738,0.847597709391
1230,-89.0624238756,0.845854867
1229,-89.0632313592,0.844112631989
1228,-89.0640388246,0.842371004352
1227,-89.0648462718,0.840629984083
1226,-89.065653701,0.838889571176
1225,-89.0664611121,0.837149765625
1224,-89.0672685052,0.835410567424
1223,-89.0680758802,0.833671976567
1222,-89.0688832372,0.831933993048
1221,-89.0696905763,0.830196616861
1220,-89.0704978974,0.828459848
1219,-89.0713052007,0.826723686459
1218,-89.0721124861,0.824988132232
1217,-89.0729197536,0.823253185313
1216,-89.0737270033,0.821518845696
1215,-89.0745342352,0.819785113375
1214,-89.0753414494,0.818051988344
1213,-89.0761486459,0.816319470597
1212,-89.0769558246,0.814587560128
1211,-89.0777629857,0.812856256931
1210,-89.0785701292,0.811125561
1209,-89.079377255,0.809395472329
1208,-89.0801843633,0.807665990912
1207,-89.080991454,0.805937116743
1206,-89.0817985272,0.804208849816
1205,-89.0826055829,0.802481190125
1204,-89.0834126211,0.800754137664
1203,-89.0842196419,0.799027692427
1202,-89.0850266453,0.797301854408
1201,-89.0858336313,0.795576623601
1200,-89.0866406,0.793852
1199,-89.0874475513,0.792127983599
1198,-89.0882544854,0.790404574392
1197,-89.0890614022,0.788681772373
1196,-89.0898683017,0.786959577536
1195,-89.0906751841,0.785237989875
1194,-89.0914820493,0.783517009384
1193,-89.0922888973,0.781796636057
1192,-89.0930957282,0.780076869888
1191,-89.093902542,0.778357710871
1190,-89.0947093388,0.776639159
1189,-89.0955161185,0.774921214269
1188,-89.0963228812,0.773203876672
1187,-89.097129627,0.771487146203
1186,-89.0979363558,0.769771022856
1185,-89.0987430676,0.768055506625
1184,-89.0995497626,0.766340597504
1183,-89.1003564408,0.764626295487
1182,-89.101163102,0.762912600568
1181,-89.1019697465,0.761199512741
1180,-89.1027763742,0.759487032
1179,-89.1035829852,0.757775158339
1178,-89.1043895794,0.756063891752
1177,-89.105196157,0.754353232233
1176,-89.1060027179,0.752643179776
1175,-89.1068092621,0.750933734375
1174,-89.1076157897,0.749224896024
1173,-89.1084223008,0.747516664717
1172,-89.1092287953,0.745809040448
1171,-89.1100352733,0.744102023211
1170,-89.1108417348,0.742395613
1169,-89.1116481798,0.740689809809
1168,-89.1124546084,0.738984613632
1167,-89.1132610206,0.737280024463
1166,-89.1140674164,0.735576042296
1165,-89.1148737958,0.733872667125
1164,-89.1156801589,0.732169898944
1163,-89.1164865057,0.730467737747
1162,-89.1172928363,0.728766183528
1161,-89.1180991506,0.727065236281
1160,-89.1189054486,0.725364896
1159,-89.1197117305,0.723665162679
1158,-89.1205179963,0.721966036312
1157,-89.1213242459,0.720267516893
1156,-89.1221304794,0.718569604416
1155,-89.1229366968,0.716872298875
1154,-89.1237428982,0.715175600264
1153,-89.1245490835,0.713479508577
1152,-89.1253552529,0.711784023808
1151,-89.1261614063,0.710089145951
1150,-89.1269675438,0.708394875
1149,-89.1277736653,0.706701210949
1148,-89.128579771,0.705008153792
1147,-89.1293858608,0.703315703523
1146,-89.1301919348,0.701623860136
1145,-89.130997993,0.699932623625
1144,-89.1318040354,0.698241993984
1143,-89.132610062,0.696551971207
1142,-89.133416073,0.694862555288
1141,-89.1342220682,0.693173746221
1140,-89.1350280478,0.691485544
1139,-89.1358340118,0.689797948619
1138,-89.1366399602,0.688110960072
1137,-89.1374458929,0.686424578353
1136,-89.1382518102,0.684738803456
1135,-89.1390577119,0.683053635375
1134,-89.139863598,0.681369074104
1133,-89.1406694688,0.679685119637
1132,-89.1414753241,0.678001771968
